PrimaryKey,URL,RaceDataJSON
any+given+saturday,https://www.pedigreequery.com/any+given+saturday,"[{""comment"":""5 STARTERS; WON BY 2 1/2 LENGTHS"",""country"":""UNITED STATES"",""dam"":{""name"":""WEEKEND IN INDY"",""pk"":""weekend+in+indy"",""url"":""https://www.pedigreequery.com/weekend+in+indy""},""distance"":""9F"",""family"":""3-o"",""grade"":""Grade II"",""horse_name"":""ANY GIVEN SATURDAY"",""horse_pk"":""any+given+saturday"",""placing"":1,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""TASTEYVILLE"",""pk"":""tasteyville"",""url"":""https://www.pedigreequery.com/tasteyville""},""series_grade"":""Grade II"",""sire"":{""name"":""DISTORTED HUMOR"",""pk"":""distorted+humor"",""url"":""https://www.pedigreequery.com/distorted+humor""},""surface"":""Dirt"",""third"":{""name"":""HELSINKI8"",""pk"":""helsinki8"",""url"":""https://www.pedigreequery.com/helsinki8""},""time"":""1:48.31"",""track"":""BELMONT PARK, NY"",""trainer"":""TODD A. PLETCHER"",""winner"":{""name"":""ANY GIVEN SATURDAY"",""pk"":""any+given+saturday"",""url"":""https://www.pedigreequery.com/any+given+saturday""},""year"":""2007""}]"
apprentice3,https://www.pedigreequery.com/apprentice3,"[{""comment"":"""",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""9 F"",""family"":"""",""grade"":"""",""horse_name"":""APPRENTICE3"",""horse_pk"":""apprentice3"",""placing"":3,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""KERRY PATCH"",""pk"":""kerry+patch"",""url"":""https://www.pedigreequery.com/kerry+patch""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""APPRENTICE3"",""pk"":""apprentice3"",""url"":""https://www.pedigreequery.com/apprentice3""},""time"":""1:51.20"",""track"":""AQUEDUCT , NY"",""trainer"":"""",""winner"":{""name"":""DARK SECRET"",""pk"":""dark+secret"",""url"":""https://www.pedigreequery.com/dark+secret""},""year"":""1933""}]"
arbees+boy,https://www.pedigreequery.com/arbees+boy,"[{""comment"":"""",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""9.5 F"",""family"":"""",""grade"":""Grade I"",""horse_name"":""ARBEES BOY"",""horse_pk"":""arbees+boy"",""placing"":3,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""BILLY COME LATELY"",""pk"":""billy+come+lately"",""url"":""https://www.pedigreequery.com/billy+come+lately""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""ARBEES BOY"",""pk"":""arbees+boy"",""url"":""https://www.pedigreequery.com/arbees+boy""},""time"":""1:54.80"",""track"":""AQUEDUCT, NY"",""trainer"":"""",""winner"":{""name"":""FOREGO"",""pk"":""forego"",""url"":""https://www.pedigreequery.com/forego""},""year"":""1974""}]"
arthurs+tale,https://www.pedigreequery.com/arthurs+tale,"[{""comment"":""WON BY 10 L."",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""12 F"",""family"":"""",""grade"":""Grade II"",""horse_name"":""ARTHURS TALE"",""horse_pk"":""arthurs+tale"",""placing"":3,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""ELDAAFER"",""pk"":""eldaafer"",""url"":""https://www.pedigreequery.com/eldaafer""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""ARTHURS TALE"",""pk"":""arthurs+tale"",""url"":""https://www.pedigreequery.com/arthurs+tale""},""time"":""2:28.89"",""track"":""BELMONT PARK, NY"",""trainer"":"""",""winner"":{""name"":""REDEEMED6"",""pk"":""redeemed6"",""url"":""https://www.pedigreequery.com/redeemed6""},""year"":""2012""}]"
assault,https://www.pedigreequery.com/assault,"[{""comment"":""BY 3 WITH 133"",""country"":""UNITED STATES"",""dam"":{""name"":""IGUAL"",""pk"":""igual"",""url"":""https://www.pedigreequery.com/igual""},""distance"":""10 F"",""family"":""4-c"",""grade"":"""",""horse_name"":""ASSAULT"",""horse_pk"":""assault"",""placing"":1,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""STYMIE"",""pk"":""stymie"",""url"":""https://www.pedigreequery.com/stymie""},""series_grade"":""Grade II"",""sire"":{""name"":""BOLD VENTURE"",""pk"":""bold+venture"",""url"":""https://www.pedigreequery.com/bold+venture""},""surface"":""Dirt"",""third"":{""name"":""LARKY DAY"",""pk"":""larky+day"",""url"":""https://www.pedigreequery.com/larky+day""},""time"":""2:03.60"",""track"":""AQUEDUCT, NY"",""trainer"":""MAXIMILIAN J. HIRSCH"",""winner"":{""name"":""ASSAULT"",""pk"":""assault"",""url"":""https://www.pedigreequery.com/assault""},""year"":""1947""},{""comment"":"""",""country"":""UNITED STATES"",""dam"":{""name"":""IGUAL"",""pk"":""igual"",""url"":""https://www.pedigreequery.com/igual""},""distance"":""10 F"",""family"":""4-c"",""grade"":"""",""horse_name"":""ASSAULT"",""horse_pk"":""assault"",""placing"":1,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""VULCANS FORGE"",""pk"":""vulcans+forge"",""url"":""https://www.pedigreequery.com/vulcans+forge""},""series_grade"":""Grade II"",""sire"":{""name"":""BOLD VENTURE"",""pk"":""bold+venture"",""url"":""https://www.pedigreequery.com/bold+venture""},""surface"":""Dirt"",""third"":{""name"":""FLYING MISSEL"",""pk"":""flying+missel"",""url"":""https://www.pedigreequery.com/flying+missel""},""time"":""2:02.80"",""track"":""AQUEDUCT, NY"",""trainer"":""MAXIMILIAN J. HIRSCH"",""winner"":{""name"":""ASSAULT"",""pk"":""assault"",""url"":""https://www.pedigreequery.com/assault""},""year"":""1949""}]"
attention,https://www.pedigreequery.com/attention,"[{""comment"":""NTR"",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""10 F"",""family"":"""",""grade"":"""",""horse_name"":""ATTENTION"",""horse_pk"":""attention"",""placing"":3,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""SWING AND SWAY"",""pk"":""swing+and+sway"",""url"":""https://www.pedigreequery.com/swing+and+sway""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""ATTENTION"",""pk"":""attention"",""url"":""https://www.pedigreequery.com/attention""},""time"":""2:02.60"",""track"":""BELMONT PARK, NY"",""trainer"":"""",""winner"":{""name"":""WHIRLAWAY"",""pk"":""whirlaway"",""url"":""https://www.pedigreequery.com/whirlaway""},""year"":""1942""}]"
autobiography,https://www.pedigreequery.com/autobiography,"[{""comment"":""ETR 4TH EXECUTIONER"",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""9.5 F"",""family"":"""",""grade"":"""",""horse_name"":""AUTOBIOGRAPHY"",""horse_pk"":""autobiography"",""placing"":2,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""AUTOBIOGRAPHY"",""pk"":""autobiography"",""url"":""https://www.pedigreequery.com/autobiography""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""WEST COAST SCOUT"",""pk"":""west+coast+scout"",""url"":""https://www.pedigreequery.com/west+coast+scout""},""time"":""1:54.80"",""track"":""AQUEDUCT, NY"",""trainer"":"""",""winner"":{""name"":""KEY TO THE MINT"",""pk"":""key+to+the+mint"",""url"":""https://www.pedigreequery.com/key+to+the+mint""},""year"":""1972""}]"
awesome+twist,https://www.pedigreequery.com/awesome+twist,"[{""comment"":""4TH FUNNY CIDE"",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""9 F"",""family"":"""",""grade"":""Grade II"",""horse_name"":""AWESOME TWIST"",""horse_pk"":""awesome+twist"",""placing"":2,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""AWESOME TWIST"",""pk"":""awesome+twist"",""url"":""https://www.pedigreequery.com/awesome+twist""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""REVERBERATE2"",""pk"":""reverberate2"",""url"":""https://www.pedigreequery.com/reverberate2""},""time"":""1:47.94"",""track"":""BELMONT PARK, NY"",""trainer"":"""",""winner"":{""name"":""WANDERIN BOY"",""pk"":""wanderin+boy"",""url"":""https://www.pedigreequery.com/wanderin+boy""},""year"":""2006""}]"
babu,https://www.pedigreequery.com/babu,"[{""comment"":""23-1. 4TH BALD EAGLE"",""country"":""UNITED STATES"",""dam"":{""name"":""BASCULA"",""pk"":""bascula"",""url"":""https://www.pedigreequery.com/bascula""},""distance"":""9.5 F"",""family"":""2-j"",""grade"":"""",""horse_name"":""BABU"",""horse_pk"":""babu"",""placing"":1,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""SWORD DANCER"",""pk"":""sword+dancer"",""url"":""https://www.pedigreequery.com/sword+dancer""},""series_grade"":""Grade II"",""sire"":{""name"":""SCOTTISH MERIDIAN"",""pk"":""scottish+meridian"",""url"":""https://www.pedigreequery.com/scottish+meridian""},""surface"":""Dirt"",""third"":{""name"":""AMERIGO"",""pk"":""amerigo"",""url"":""https://www.pedigreequery.com/amerigo""},""time"":""1:56.40"",""track"":""JAMAICA, NY"",""trainer"":""JOHN J. WEIPERT"",""winner"":{""name"":""BABU"",""pk"":""babu"",""url"":""https://www.pedigreequery.com/babu""},""year"":""1959""}]"
badge2,https://www.pedigreequery.com/badge2,"[{""comment"":"""",""country"":""UNITED STATES"",""dam"":{""name"":"""",""pk"":"""",""url"":""""},""distance"":""10 F"",""family"":"""",""grade"":"""",""horse_name"":""BADGE2"",""horse_pk"":""badge2"",""placing"":2,""race_name"":""BROOKLYN INVITATIONAL STAKES - MULTIPLE TRACKS"",""race_page_id"":""640"",""second"":{""name"":""BADGE2"",""pk"":""badge2"",""url"":""https://www.pedigreequery.com/badge2""},""series_grade"":""Grade II"",""sire"":{""name"":"""",""pk"":"""",""url"":""""},""surface"":""Dirt"",""third"":{""name"":""ERIC"",""pk"":""eric"",""url"":""https://www.pedigreequery.com/eric""},""time"":""2:10.00"",""track"":""GRAVESEND, NY"",""trainer"":"""",""winner"":{""name"":""CASTAWAY3"",""pk"":""castaway3"",""url"":""https://www.pedigreequery.com/castaway3""},""year"":""1890""}]"
