PrimaryKey,Sire,Dam,Sex,Color,Year,Country,Family,DP,DI,CD,Starts,Wins,Places,Shows,CareerEarnings,Owner,Breeder,StateBred,WinningsText,Details,URL,Horse Name,SubjectInfoText
miesque,nureyev,pasadoble,M,b,1984,USA,20,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/miesque,MIESQUE (USA),
millers+damsel,messenger,sister+to+timidity,M,gr,1802,USA,3,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/millers+damsel,MILLERS DAMSEL (USA),
moon+is+up,woodman,miesque,M,b,1993,USA,20,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/moon+is+up,MOON IS UP (USA),
mountain+flower,montparnasse2,edelweiss2,M,b,1964,USA,3-e,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/mountain+flower,MOUNTAIN FLOWER (USA),
mr+prospector,raise+a+native,gold+digger2,H,b,1970,USA,13-c,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/mr+prospector,MR. PROSPECTOR (USA),
northern+dancer,nearctic,natalma,H,b,1961,CAN,2-d,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/northern+dancer,NORTHERN DANCER (CAN),
nureyev,northern+dancer,special,H,b,1977,USA,5-h,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/nureyev,NUREYEV (USA),
partner+mare,crofts+partner,bonny+lass,M,b,1735,GB,1-a,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/partner+mare,PARTNER MARE (GB),
pasadoble,prove+out,santa+quilla,M,b,1979,USA,20,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/pasadoble,PASADOBLE (USA),
playmate,buckpasser,intriguing,M,ch,1975,USA,1-x,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/playmate,PLAYMATE (USA),
pot8os,eclipse,sportsmistress,H,ch,1773,GB,38,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/pot8os,POT8OS (GB),
round+table,princequillo,knights+daughter,H,br,1954,USA,2-f,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/round+table,ROUND TABLE (USA),
secretariat,bold+ruler,somethingroyal,H,ch,1970,USA,2-s,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/secretariat,SECRETARIAT (USA),
selima7,godolphin+arabian,shireborn,M,b,1745,GB,21,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/selima7,SELIMA (GB),
shark,marske,snap+mare3,H,br,1771,GB,56,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/shark,SHARK (GB),
shark+mare7,shark,spadille+mare3,M,,1788,USA,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/shark+mare7,SHARK MARE (USA),
sister+one+to+steady,flying+childers,miss+belvoir,M,gr,1734,GB,6,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sister+one+to+steady,SISTER ONE TO STEADY (GB),
sister+to+juno,spectator,horatia4,M,b,1763,GB,6-b,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sister+to+juno,SISTER TO JUNO (GB),
sister+to+timidity,pot8os,gimcrack+mare,M,ch,1792,GB,3,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sister+to+timidity,SISTER TO TIMIDITY (GB),
snap,snip,sister+to+slipby,H,br,1750,GB,1,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/snap,SNAP (GB),
