PrimaryKey,Sire,Dam,Sex,Color,Year,Country,Family,DP,DI,CD,Starts,Wins,Places,Shows,CareerEarnings,Owner,Breeder,StateBred,WinningsText,Details,URL,Horse Name,SubjectInfoText
sister+to+merlins+dam,,merlins+grandam,M,,1677,GB,37,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sister+to+merlins+dam,SISTER TO MERLINS DAM (GB),
dodsworth+mare,dodsworth4,layton+barb+mare,M,,1678,GB,4,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/dodsworth+mare,DODSWORTH MARE (GB),
oglethorpe+arabian,darcys+yellow+turk,,H,b,1678,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/oglethorpe+arabian,OGLETHORPE ARABIAN (GB),
sister+to+bay+darcy,darcys+white+turk,sister+to+spanker,M,b,1678,GB,6,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sister+to+bay+darcy,SISTER TO BAY DARCY (GB),
brimmer,darcys+yellow+turk,darcy+royal+mare,H,,1680,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/brimmer,BRIMMER (GB),
darcys+yellow+turk+mare2,darcys+yellow+turk,natural+barb+mare5,M,,1680,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/darcys+yellow+turk+mare2,DARCYS YELLOW TURK MARE (GB),
dodsworth+mare7,dodsworth4,willoughby+barb+mare3,M,b,1680,GB,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/dodsworth+mare7,DODSWORTH MARE (GB),
leedes+arabian,,,H,blk,1680,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/leedes+arabian,LEEDES ARABIAN (GB),
natural+barb,,,H,b,1680,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/natural+barb,NATURAL BARB (GB),
natural+barb+mare,,,M,,1680,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/natural+barb+mare,NATURAL BARB MARE (GB),
old+clubfoot,,family+number+thirty+four,M,,1680,GB,34,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/old+clubfoot,OLD CLUBFOOT (GB),
royal+mare2,,family+number+fifteen,M,,1680,,15,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/royal+mare2,ROYAL MARE,
royal+mare4,,,M,,1680,,15,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/royal+mare4,ROYAL MARE,
sedbury+royal+mare2,,family+number+eleven,M,,1680,GB,11,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sedbury+royal+mare2,SEDBURY ROYAL MARE (GB),
byerley+turk,,,H,blk,1682,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/byerley+turk,BYERLEY TURK (GB),
diamond+mare,darcys+diamond,sister+to+merlins+dam,M,,1683,GB,37,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/diamond+mare,DIAMOND MARE (GB),
trumpets+dam,places+white+turk,dodsworth+mare,M,,1685,GB,4,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/trumpets+dam,TRUMPET'S DAM (GB),
charming+jenny4,spanker,sister+to+bay+darcy,M,gr,1687,GB,6,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/charming+jenny4,CHARMING JENNY (GB),
whynot2,fenwick+barb,royal+mare4,H,gr,1688,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/whynot2,WHYNOT (GB),
brimmer+mare3,brimmer,diamond+mare,M,,1689,GB,37,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/brimmer+mare3,BRIMMER MARE (GB),
bustler+mare,bustler3,barb+mare,M,,1689,GB,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/bustler+mare,BUSTLER MARE (GB),
bustler+mare3,bustler3,mackerel+mare,M,,1690,GB,71,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/bustler+mare3,BUSTLER MARE (GB),
makeless,oglethorpe+arabian,darcys+yellow+turk+mare2,H,ch,1690,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/makeless,MAKELESS (GB),
huttons+royal+colt,helmsley+turk,sedbury+royal+mare4,H,,1691,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/huttons+royal+colt,HUTTONS ROYAL COLT (GB),
byerley+turk+mare6,byerley+turk,bustler+mare,M,,1693,GB,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/byerley+turk+mare6,BYERLEY TURK MARE (GB),
grey+hautboy,hautboy2,natural+barb+mare,H,gr,1693,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/grey+hautboy,GREY HAUTBOY (GB),
coneyskins+dam,byerley+turk,,M,,1695,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/coneyskins+dam,CONEYSKINS DAM (GB),
huttons+grey+barb,,,H,gr,1695,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/huttons+grey+barb,HUTTONS GREY BARB (GB),
makeless+mare2,makeless,brimmer+mare3,M,blk,1698,GB,37,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/makeless+mare2,MAKELESS MARE (GB),
huttons+royal+mare,huttons+royal+colt,byerley+turk+mare6,M,,1699,GB,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/huttons+royal+mare,HUTTONS ROYAL MARE (GB),
darley+arabian,,,H,b,1700,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/darley+arabian,DARLEY ARABIAN (GB),
betty+leedes,old+careless,cream+cheeks,M,br,1702,GB,6-a,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/betty+leedes,BETTY LEEDES (GB),
hautboy+mare,hautboy2,brimmer+mare,M,b,1703,GB,4,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/hautboy+mare,HAUTBOY MARE (GB),
sister+to+surley,huttons+grey+barb,huttons+royal+mare,M,,1704,GB,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sister+to+surley,SISTER TO SURLEY (GB),
bald+galloway,st+victors+barb,grey+whynot,H,,1705,GB,15,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/bald+galloway,BALD GALLOWAY (GB),
darcys+old+montagu,,,H,blk,1710,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/darcys+old+montagu,DARCYS OLD MONTAGU (GB),
huttons+bay+turk,,,H,b,1710,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/huttons+bay+turk,HUTTON'S BAY TURK (GB),
coneyskins+mare,huttons+coneyskins,clubfoot,M,,1713,GB,34,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/coneyskins+mare,CONEYSKINS MARE (GB),
rutlands+grey+turk+mare,rutlands+grey+turk,hautboy+mare11,M,gr,1713,GB,71,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/rutlands+grey+turk+mare,RUTLANDS GREY TURK MARE (GB),
fox+cub2,clumsey2,hampton+court+charming+jenny,H,b,1714,GB,6,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/fox+cub2,FOX CUB (GB),
sister+to+old+country+wench,snake,grey+wilkes2,M,,1715,GB,11,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/sister+to+old+country+wench,SISTER TO OLD COUNTRY WENCH (GB),
bartlets+childers,darley+arabian,betty+leedes,H,b,1716,GB,6-a,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/bartlets+childers,BARTLETS CHILDERS (GB),
bay+bolton+mare3,bay+bolton,huttons+coneyskins+mare,M,b,1716,GB,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/bay+bolton+mare3,BAY BOLTON MARE (GB),
old+montagu+mare,darcys+old+montagu,hautboy+mare,M,,1720,GB,4,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/old+montagu+mare,OLD MONTAGU MARE (GB),
easby+snake,snake,rutlands+grey+turk+mare,H,b,1721,GB,71,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/easby+snake,EASBY SNAKE (GB),
grey+robinson,bald+galloway,sister+to+old+country+wench,M,gr,1723,GB,11,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/grey+robinson,GREY ROBINSON (GB),
godolphin+arabian,,,H,br,1724,GB,,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/godolphin+arabian,GODOLPHIN ARABIAN (GB),
huttons+blacklegs,huttons+bay+turk,coneyskins+mare,H,b,1725,GB,34,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/huttons+blacklegs,HUTTONS BLACKLEGS (GB),
mother+western,easby+snake,old+montagu+mare,M,b,1731,GB,4,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/mother+western,MOTHER WESTERN (GB),
fox+cub+mare,fox+cub2,bay+bolton+mare3,M,,1732,GB,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/fox+cub+mare,FOX CUB MARE (GB),
squirt,bartlets+childers,sister+to+old+country+wench,H,ch,1732,GB,11,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/squirt,SQUIRT (GB),
the+ruby+mare,huttons+blacklegs,fox+cub+mare,M,,1738,GB,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/the+ruby+mare,THE RUBY MARE (GB),
regulus,godolphin+arabian,grey+robinson,H,b,1739,GB,11,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/regulus,REGULUS (GB),
spilletta,regulus,mother+western,M,b,1749,GB,4,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/spilletta,SPILLETTA (GB),
marske,squirt,the+ruby+mare,H,br,1750,GB,8,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/marske,MARSKE (GB),
