PrimaryKey,Sire,Dam,Sex,Color,Year,Country,Family,DP,DI,CD,Starts,Wins,Places,Shows,CareerEarnings,Owner,Breeder,StateBred,WinningsText,Details,URL,Horse Name,SubjectInfoText
family+number+fifteen,,,M,,,,15,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/family+number+fifteen,FAMILY NUMBER FIFTEEN,
family+number+four,,,M,,,,4,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/family+number+four,FAMILY NUMBER FOUR,
family+number+seventy+one,,,,,,,71,0-0-0-0-0 (0),,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/family+number+seventy+one,FAMILY NUMBER SEVENTY ONE,
family+number+six,,,,,,,6,0-0-0-0-0 (0),,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/family+number+six,FAMILY NUMBER SIX,
family+number+thirty+four,,,M,,,,34,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/family+number+thirty+four,FAMILY NUMBER THIRTY FOUR,
family+number+thirty+seven,,,M,,,,37,,,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/family+number+thirty+seven,FAMILY NUMBER THIRTY SEVEN,
family+number+thirty+two,,,,,,,32,0-0-0-0-0 (0),,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/family+number+thirty+two,FAMILY NUMBER THIRTY TWO,
grey+whynot,whynot2,royal+mare2,,gr,,GB,15,0-0-0-0-0 (0),,,,,,,,Captain Rider,,,,pedigreequery,https://www.pedigreequery.com/grey+whynot,GREY WHYNOT (GB),"Owner: Captain Rider
The equal second earliest mare in the lineage of Family 15
Dam of Points (by St. Victor's Barb) through which the maternal line of the family continues and from which branch 15-a of the family evolves
Dam of the significant sire Bald Galloway (Champion Sire 1725); and 3rd dam of Amorett - dam of 1) Blank - Champion Sire in 1762, 1764, 1770; 2) Old England (1747 King's Plate Guildford, 1748 King's Plate Newmarket); 3) Shakespeare (1751 King's Plates Guildford and Lincoln, sire of the dam of Sweetbriar, top class racehorse undefeated in 8 starts, and of Eager - (1791 Derby));
4) Tortoise (1743 King's Plate Nottingham, 1744 King's Plate Newmarket); and 5) Trimmer (1749 King's Plate Lichfield, 1750 King's Plate Newmarket)"
grey+wilkes2,hautboy2,miss+darcys+pet+mare,,gr,,GB,11,0-0-0-0-0 (0),,,,,,,,1) Mr. Wilkes 2) Mr. Robinson,Mr. Wilkes,,,pedigreequery,https://www.pedigreequery.com/grey+wilkes2,GREY WILKES (GB),"Owner: 1) Mr. Wilkes 2) Mr. Robinson
Breeder: Mr. Wilkes
The third earliest mare in the lineage of Family 11
Grey Wilkes was a successful and significant broodmare, dam of Sister to Old Country Wench - dam of a) Squirt (grandsire of Eclipse); b) dam of Lady Caroline (1744 King's Plate [mares] Hambleton, 1745 King's Plates [mares] Newmarket, The Curragh; and c) grandam of Regulus (1745 King's Plates Winchester, Salisbury, Nottingham, Canterbury, Lewes, Lincoln and Newmarket, 1746 King's Plate Newmarket, and Champion Sire 1754, 1755, 1756, 1757, 1761, 1763, 1765 and 1766); Grey Wilkes is also 3rd dam of Robinson Crusoe (1729 King's Plate York, 1730 King's Plate Newmarket);
and grandam of [Egerton] Nanny (1729 King's Plate [mares] Hambleton, 1730 King's Plate [mares] Newmarket)
Full sister to Clumsey, sire of top class racehorse Fox, Champion Sire in Great Britain in 1731 and 1735, and full sister to Old Wen Mare, dam of Alcock's Arabian, Champion Sire 1728 and sire of the exceptionally successful stallion Crab (Champion Sire 1748, 1749, 1750)"
hampton+court+charming+jenny,leedes+arabian,charming+jenny4,,b,,GB,6,0-0-0-0-0 (0),,,,,,,,,Englebert Leedes,,,pedigreequery,https://www.pedigreequery.com/hampton+court+charming+jenny,HAMPTON COURT CHARMING JENNY (GB),"Breeder: Englebert Leedes
Dam of Fox Cub, sire of 1) fair class racehorses Dunkirk, winner between 1731 and 1736, and Drowsy, winner between 1743 and 1746; of 2) Vixen (1742 King's Plate [mares] Hambleton, 1743 King's Plate [mares] Newmarket); of 3) the dam of Cademus (1759 King's Plate Nottingham) and Priscilla's Dam (by [Hutton's] Spot) through which branches 8-b, 8-f and 8-i of Family 8 descend; and most notably, of 4) the dam of The Ruby Mare, dam of Marske (Champion Sire 1775 and 1776, sire of a) Shark (19 victories including 1775 Claret Stakes, and winner of over £16,000, a record at the time; of b) the top class racehorse Pretender;
and of c) the peerless Eclipse, the greatest racehorse of the 18th century, unbeaten winner of 18 races including 12 King's Plates, second in the list of leading sires 11 times, every year from 1778 and 1788, and progenitor of the Darley Arabian male line from which over 95% of the world's current thoroughbreds descend"
hautboy2,darcys+white+turk,royal+mare6,,gr,,GB,,0-0-0-0-0 (0),,,,,,,,,James Darcy the younger,,,pedigreequery,https://www.pedigreequery.com/hautboy2,HAUTBOY (GB),"Breeder: James Darcy the younger
Not the same horse as the Hautboy which lost a match versus Quainton at Newmarket on 11 April 1698 as many of his progeny significantly predate 1698
Sire of 1) Grey Hautboy (sire of Bay Bolton, Champion Sire in 1724, 1726, 1727, 1729, 1732, 1733 and 1734 and Lamprie, winner of 3 King's Plates in 1722 and 1723); 2) Clumsey (sire of Fox, top class racehorse and Champion Sire in Great Britain in 1731 and 1735); 3) Grey Wilkes (dam of Sister to Old Country Wench, a) dam of Squirt (grandsire of Eclipse): b) dam of Lady Caroline (winner of 3 King's Plates in 1744 and 1745]; and c) grandam of Regulus (winner of 8 King's Plates in 1745 and 1746 and 8 times Champion Sire));
4) Old Wen Mare (dam of Alcock's Arabian, Champion Sire in 1728); 5) the dam of the significant sire Snake; 6) the dam of the good racehorses Aleppo, Almanzor and Terror; and 7) the 4th dam of Eclipse, the greatest racehorse of the 18th century; and 8) other mares which bred on successfully"
hautboy+mare11,hautboy2,bustler+mare3,,,,GB,71,0-0-0-0-0 (0),,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/hautboy+mare11,HAUTBOY MARE (GB),"Grandam of Easby Snake, sire of 1) Mother Western, grandam of Eclipse, greatest racehorse of 18th century and progenitor of Darley Arabian male line to over 95% of today's thoroughbreds; 2) Miss Hendry (1735 King's Plate [mares] Hambleton; and 3) Orion, sire of the grandam of Alipes (1761 Jockey Club Plate, Great Subscription Purse [4yo division] York);
and 3rd dam of the fair class racehorse Bald Partner, and of Regulus (1751 King's Plate Ipswich)"
hautboy+mare7,hautboy2,,,,,GB,,0-0-0-0-0 (0),,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/hautboy+mare7,HAUTBOY MARE (GB),"Dam of Snake - sire of 1) King's Plate winners Bay Wilkinson, [William's] Squirrel and Lowther; 2) Driver - multiple fair class winner; 3) Sister to Old Country Wench, dam of Grey Robinson, dam of unbeaten great racehorse and 8 times Champion Sire Regulus; 4) Warlock Galloway, dam of Cub, a fair class racehorse and highly significant broodmare sire; of King's Plate winners Othello and Abigail; and grandam and 3rd dam respectively of high class racehorses Apollo and Pyrrhus; 5) Sister 2 to Old Country Wench - dam of Squirt, sire of Marske, the sire of the great Eclipse;
6) the dams of King's Plate winners Thunderbolt and Stump; 7) 3rd dam of Sampson, winner of 6 King's Plates; 8) Smith's Son of Snake - sire of Mother Western, grandam of Eclipse"
helmsley+turk,,,,gr,,,,0-0-0-0-0 (0),,,,,,,,"1) Thomas Fairfax 2) George Villliers, 2nd Duke of Buckingham",,,,pedigreequery,https://www.pedigreequery.com/helmsley+turk,HELMSLEY TURK,"Owner: 1) Thomas Fairfax 2) George Villliers, 2nd Duke of Buckingham
The Helmsley Turk was from the stud of Lord Fairfax, Helmsley, and became the property of George Villiers, 2nd Duke of Buckingham, who married Fairfax's daughter Mary in 1657, thus regaining the Helmsley estate (which had been owned by Villiers' father, the 1st Duke Of Buckingham until his assassination in 1628) which had been given to Fairfax by Oliver Cromwell for Fairfax's service as a parliamentary general and as ""a salve for a bad wound"" he suffered when besieging Helmsley Castle in 1644 in the English Civil War. Fairfax died in 1671.
The Helmsley Turk's principal contribution to the breed was 1) his son Bustler, who got the famous Bustler mares of Families 8, 35, 37 and 44 and three important sons, Blunderbuss, [Old] Merlin and [Darcy's] Woodcock; and 2) Vixen, the second earliest mare in the lineage of Family 32"
huttons+coneyskins,lister+turk,coneyskins+dam,,b,,GB,,0-0-0-0-0 (0),,,,,,,,John Hutton II,John Hutton II,,,pedigreequery,https://www.pedigreequery.com/huttons+coneyskins,HUTTONS CONEYSKINS (GB),"Owner: John Hutton II
Breeder: John Hutton II
There were two Coneyskins in the early years of the 18th century, Rutland's Coneyskins and Hutton's Coneyskins and confusion exists between their stud records
Most or all of the progeny attributed in the General Stud Book to [Rutland's] Coneyskins were probably sired by [Hutton's] Coneyskins
Pond's Sporting Kalendar, page 166, says in pedigree for Ramper:- ""his Grandam by Hutton's Coneyskin (this was not the Rutland of that name)"", clearly demonstrating there were two different horses
Sire of 1) the dam of [Hutton's] Blacklegs, sire of The Ruby Mare, dam of Marske (sire of the great racehorse and sire Eclipse), and through which mare one of the maternal lines of Family 8 continues, subsequently evolving into branches 8-a, 8-e and 8-j; and of 2) another unnamed daughter which continues another line of Family 8 from which branches 8-c, 8-d, 8-g, 8-h and 8-k evolve"
huttons+coneyskins+mare,huttons+coneyskins,sister+to+surley,,,,GB,8,0-0-0-0-0 (0),,,,,,,,John Hutton II,John Hutton II,,,pedigreequery,https://www.pedigreequery.com/huttons+coneyskins+mare,HUTTONS CONEYSKINS MARE (GB),"Owner: John Hutton II
Breeder: John Hutton II
3rd dam of Bay Ranger's dam (ancestress of the great racemare stayer Beeswing - winner of 51 of her 64 starts, including the 1842 Ascot Gold Cup, 1837, 1840, 1841 and 1842 Doncaster Cup and the Newcastle Cup six times, and dam of Nunnykirk (1849 Two Thousand Guineas Stakes) and Newminster (1851 St Leger and Champion Sire 1859 and 1863)"
lister+turk,,,,gr,,,,0-0-0-0-0 (0),,,,,,,,"1); James FitzJames, 1st Duke of Berwick 2) Matthew Lister",,,,pedigreequery,https://www.pedigreequery.com/lister+turk,LISTER TURK,"Owner: 1); James FitzJames, 1st Duke of Berwick 2) Matthew Lister
Also known as
Lister's Grey Turk
and the
Stradling Turk
Said to have been taken from the Turks at the seige of Buda in 1686 and brought to England by James FitzJames, 1st Duke of Berwick, illegitimate son of James II who was aged only 17 when returning from Buda. After being acquired by Matthew Lister, he stood at his Burwell Park stud, near Louth, in Lincolnshire
Sire of 1) Snake, a very successful and significant stallion, sire of a) [William's] Squirrel (1725 King's Plates York, Newmarket, 1726 King's Plate Newmarket and sire of Fair Helen, Foundation Mare of Family 10); b) Smith's Son of Snake [Easby Snake], sire of Mother Western, grandam of Eclipse;
and c) the dam of Squirt, sire of Marske, the sire of Eclipse, through which the Darley Arabian sire line extends to the present day in over 95% of thoroughbreds; of 2) [Rutland's] Coneyskins (1718 King's Plates York, Nottingham, Lincoln, Newmarket, 1719 King's Plate Newmarket); and of 3) a number of mares which breed on including The Hobby Mare, a significant broodmare in Family 23"
merlins+grandam,,family+number+thirty+seven,,,,GB,37,0-0-0-0-0 (0),,,,,,,,,,,,pedigreequery,https://www.pedigreequery.com/merlins+grandam,MERLINS GRANDAM (GB),"Foundation Mare Family 37
The family is still extant
Dam of Sir Matthew Pierson's Sorrel Running Mare, dam of [Old] Merlin, sire of 1) [Bethell's] Castaway, sire of the dam of [Appleyard's] Conqueror (winner of 6 King's Plates); and of the dam of Bald Charlotte (winner of 3 King's Plates); 2) [Darcy's] Woodcock, sire of a) Brown Farewell, from which much of Family 2 descends; b) Grey Woodcock, dam of Badger (winner of 3 King's Plates); c) Old Montague Mare, dam of the notable racehorse and sire Sedbury (winner of 4 King's Plates); and d) Woodcock Thornton, through which Family 2-b descends; 3) 5th dam of outstanding racehorse and great sire [King] Herod (8 times Champion Sire);
4) Jester, dam of Manica, sire of King's Plates winners Stump and Aldby Jenny; and of Sister to Merlin's Dam, 4th dam of top class racehorse and 7 times Champion Sire Bay Bolton, and 4th dam of top class racehorse Lamprie
Nothing is known of the origins or location of this mare"
miss+darcys+pet+mare,,sedbury+royal+mare2,,,,GB,11,0-0-0-0-0 (0),,,,,,,,1) Betty Darcy 2) Mr. Wilkes,,,,pedigreequery,https://www.pedigreequery.com/miss+darcys+pet+mare,MISS DARCYS PET MARE (GB),"Owner: 1) Betty Darcy 2) Mr. Wilkes
The second earliest mare in the lineage of Family 11
Dam of Grey Wilkes (by Hautboy) through which the maternal line of the family continues
Dam of Clumsey (sire of Fox, top class racehorse
  and Champion Sire 1731 and 1735); of the significant broodmare Grey Wilkes, dam of Sister to Old Country Wench - dam of a) Squirt (grandsire of Eclipse); b) dam of Lady Caroline - (1744 King's Plate [mares] Hambleton, 1745 King's Plates [mares] Newmarket and The Curragh; and c) grandam of Regulus (1745 King's Plates Winchester, Salisbury, Nottingham, Canterbury, Lewes, Lincoln, Newmarket, 1746 King's Plate Newmarket, Champion Sire 1754, 1755, 1756, 1757, 1761, 1763, 1765 and 1766);
and of Old Wen Mare (dam of Alcock Arabian, Champion Sire 1728, sire of the exceptionally successful stallion, Crab (Champion Sire 1748, 1749 and 1750)"
old+bald+peg,,family+number+six,,,,,6,0-0-0-0-0 (0),,,,,,,,"1) George Villiers, 2nd Duke of Buckingham 2) Thomas Fairfax 3) George Villiers, 2nd Duke of Buckingham (second time)",,,,pedigreequery,https://www.pedigreequery.com/old+bald+peg,OLD BALD PEG,"Owner: 1) George Villiers, 2nd Duke of Buckingham 2) Thomas Fairfax 3) George Villiers, 2nd Duke of Buckingham (second time)
Foundation Mare Family 6
The second earliest (to the Bolton Castle mare) thoroughbred family foundation mare, Old Bald Peg (probably foaled 1645c) is located at Helmsley, Yorkshire, indicating she may be a descendant of mares belonging to the first Duke of Buckingham, George Villiers (1592-1628) who acquired the estate at Helmsley through marriage to the Earl of Rutland's daughter in 1620. ""Bald"" or ""Ball'd"" at the time possibly meant a round, bulging forehead, with a white marking, which possibly extended as far down as the lips, supporting Old Bald Peg being an Arabian, although her origins are uncertain, different sources describing her as an Arabian and a Barb.
Dam of Old Morocco Mare through which the maternal line of the family continues and also the dam of Spanker, important sire and described as the best racehorse at Newmarket in the time of Charles II; Charming Jenny (dam of Betty Percival, Highland Laddie, Hampton Court Charming Jenny and Leedes); and Young Bald Peg (grandam of top class racehorse and twice Champion Sire Fox)"
